Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2022,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BERRY TOTALS,BERRY TOTALS - OPERATIONS WITH SALES,ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION)","3,977",5.7
CENSUS,2022,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BERRY TOTALS,BERRY TOTALS - OPERATIONS WITH SALES,ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION, (EXCL FAMILY HELD))",661,6.5
CENSUS,2022,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BERRY TOTALS,BERRY TOTALS - OPERATIONS WITH SALES,ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION, (EXCL FAMILY HELD), LE 10 STOCKHOLDERS)",633,6.7
CENSUS,2022,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BERRY TOTALS,BERRY TOTALS - OPERATIONS WITH SALES,ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION, FAMILY HELD)","3,316",6.0
CENSUS,2022,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BERRY TOTALS,BERRY TOTALS - OPERATIONS WITH SALES,ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION, FAMILY HELD, LE 10 STOCKHOLDERS)","3,252",6.2
CENSUS,2022,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BERRY TOTALS,BERRY TOTALS - OPERATIONS WITH SALES,ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, FAMILY & INDIVIDUAL)","24,174",6.5
CENSUS,2022,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BERRY TOTALS,BERRY TOTALS - OPERATIONS WITH SALES,ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, INSTITUTIONAL & RESEARCH & RESERVATION & OTHER)",655,6.1
CENSUS,2022,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BERRY TOTALS,BERRY TOTALS - OPERATIONS WITH SALES,ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, PARTNERSHIP)","2,402",5.1
CENSUS,2022,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BERRY TOTALS,BERRY TOTALS - OPERATIONS WITH SALES,ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, PARTNERSHIP, REGISTERED UNDER STATE LAW)","2,220",5.7
CENSUS,2022,YEAR,,STATE,ALABAMA,1.0,,,,,,,0,,BERRY TOTALS,BERRY TOTALS - OPERATIONS WITH SALES,ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION)",52,23.9
CENSUS,2022,YEAR,,STATE,ALABAMA,1.0,,,,,,,0,,BERRY TOTALS,BERRY TOTALS - OPERATIONS WITH SALES,ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION, (EXCL FAMILY HELD))",8,59.3
CENSUS,2022,YEAR,,STATE,ALABAMA,1.0,,,,,,,0,,BERRY TOTALS,BERRY TOTALS - OPERATIONS WITH SALES,ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION, (EXCL FAMILY HELD), LE 10 STOCKHOLDERS)",8,59.3
CENSUS,2022,YEAR,,STATE,ALABAMA,1.0,,,,,,,0,,BERRY TOTALS,BERRY TOTALS - OPERATIONS WITH SALES,ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION, FAMILY HELD)",44,21.2
CENSUS,2022,YEAR,,STATE,ALABAMA,1.0,,,,,,,0,,BERRY TOTALS,BERRY TOTALS - OPERATIONS WITH SALES,ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION, FAMILY HELD, LE 10 STOCKHOLDERS)",44,21.2
CENSUS,2022,YEAR,,STATE,ALABAMA,1.0,,,,,,,0,,BERRY TOTALS,BERRY TOTALS - OPERATIONS WITH SALES,ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, FAMILY & INDIVIDUAL)",684,7.7
CENSUS,2022,YEAR,,STATE,ALABAMA,1.0,,,,,,,0,,BERRY TOTALS,BERRY TOTALS - OPERATIONS WITH SALES,ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, INSTITUTIONAL & RESEARCH & RESERVATION & OTHER)",18,25.3
CENSUS,2022,YEAR,,STATE,ALABAMA,1.0,,,,,,,0,,BERRY TOTALS,BERRY TOTALS - OPERATIONS WITH SALES,ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, PARTNERSHIP)",19,14.1
CENSUS,2022,YEAR,,STATE,ALABAMA,1.0,,,,,,,0,,BERRY TOTALS,BERRY TOTALS - OPERATIONS WITH SALES,ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, PARTNERSHIP, REGISTERED UNDER STATE LAW)",17,16.7
CENSUS,2022,YEAR,,STATE,ALASKA,2.0,,,,,,,0,,BERRY TOTALS,BERRY TOTALS - OPERATIONS WITH SALES,ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION)",2,(L)
CENSUS,2022,YEAR,,STATE,ALASKA,2.0,,,,,,,0,,BERRY TOTALS,BERRY TOTALS - OPERATIONS WITH SALES,ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION, FAMILY HELD)",2,(L)
CENSUS,2022,YEAR,,STATE,ALASKA,2.0,,,,,,,0,,BERRY TOTALS,BERRY TOTALS - OPERATIONS WITH SALES,ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION, FAMILY HELD, LE 10 STOCKHOLDERS)",2,(L)
CENSUS,2022,YEAR,,STATE,ALASKA,2.0,,,,,,,0,,BERRY TOTALS,BERRY TOTALS - OPERATIONS WITH SALES,ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, FAMILY & INDIVIDUAL)",78,(L)
CENSUS,2022,YEAR,,STATE,ALASKA,2.0,,,,,,,0,,BERRY TOTALS,BERRY TOTALS - OPERATIONS WITH SALES,ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, INSTITUTIONAL & RESEARCH & RESERVATION & OTHER)",6,(L)
CENSUS,2022,YEAR,,STATE,ALASKA,2.0,,,,,,,0,,BERRY TOTALS,BERRY TOTALS - OPERATIONS WITH SALES,ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, PARTNERSHIP)",8,(L)
CENSUS,2022,YEAR,,STATE,ALASKA,2.0,,,,,,,0,,BERRY TOTALS,BERRY TOTALS - OPERATIONS WITH SALES,ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, PARTNERSHIP, REGISTERED UNDER STATE LAW)",8,(L)
CENSUS,2022,YEAR,,STATE,ARIZONA,4.0,,,,,,,0,,BERRY TOTALS,BERRY TOTALS - OPERATIONS WITH SALES,ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION)",6,79.1
CENSUS,2022,YEAR,,STATE,ARIZONA,4.0,,,,,,,0,,BERRY TOTALS,BERRY TOTALS - OPERATIONS WITH SALES,ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION, (EXCL FAMILY HELD))",5,78.2
CENSUS,2022,YEAR,,STATE,ARIZONA,4.0,,,,,,,0,,BERRY TOTALS,BERRY TOTALS - OPERATIONS WITH SALES,ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION, (EXCL FAMILY HELD), LE 10 STOCKHOLDERS)",5,78.2
CENSUS,2022,YEAR,,STATE,ARIZONA,4.0,,,,,,,0,,BERRY TOTALS,BERRY TOTALS - OPERATIONS WITH SALES,ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION, FAMILY HELD)",1,(H)
CENSUS,2022,YEAR,,STATE,ARIZONA,4.0,,,,,,,0,,BERRY TOTALS,BERRY TOTALS - OPERATIONS WITH SALES,ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION, FAMILY HELD, LE 10 STOCKHOLDERS)",1,(H)
CENSUS,2022,YEAR,,STATE,ARIZONA,4.0,,,,,,,0,,BERRY TOTALS,BERRY TOTALS - OPERATIONS WITH SALES,ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, FAMILY & INDIVIDUAL)",38,25.6
CENSUS,2022,YEAR,,STATE,ARIZONA,4.0,,,,,,,0,,BERRY TOTALS,BERRY TOTALS - OPERATIONS WITH SALES,ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, INSTITUTIONAL & RESEARCH & RESERVATION & OTHER)",2,94.9
CENSUS,2022,YEAR,,STATE,ARIZONA,4.0,,,,,,,0,,BERRY TOTALS,BERRY TOTALS - OPERATIONS WITH SALES,ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, PARTNERSHIP)",13,28.3
CENSUS,2022,YEAR,,STATE,ARIZONA,4.0,,,,,,,0,,BERRY TOTALS,BERRY TOTALS - OPERATIONS WITH SALES,ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, PARTNERSHIP, REGISTERED UNDER STATE LAW)",13,28.3
CENSUS,2022,YEAR,,STATE,ARKANSAS,5.0,,,,,,,0,,BERRY TOTALS,BERRY TOTALS - OPERATIONS WITH SALES,ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION)",22,30.2
CENSUS,2022,YEAR,,STATE,ARKANSAS,5.0,,,,,,,0,,BERRY TOTALS,BERRY TOTALS - OPERATIONS WITH SALES,ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION, (EXCL FAMILY HELD))",6,44.7
CENSUS,2022,YEAR,,STATE,ARKANSAS,5.0,,,,,,,0,,BERRY TOTALS,BERRY TOTALS - OPERATIONS WITH SALES,ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION, (EXCL FAMILY HELD), LE 10 STOCKHOLDERS)",6,44.7
CENSUS,2022,YEAR,,STATE,ARKANSAS,5.0,,,,,,,0,,BERRY TOTALS,BERRY TOTALS - OPERATIONS WITH SALES,ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION, FAMILY HELD)",16,33.0
