Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2022,YEAR,,STATE,ALABAMA,1,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,309,9.2
CENSUS,2022,YEAR,,STATE,ARIZONA,4,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,7257,34.1
CENSUS,2022,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,341591,12.7
CENSUS,2022,YEAR,,STATE,FLORIDA,12,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,382803,14.5
CENSUS,2022,YEAR,,STATE,GEORGIA,13,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,1583,23.5
CENSUS,2022,YEAR,,STATE,HAWAII,15,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,9649,1.0
CENSUS,2022,YEAR,,STATE,LOUISIANA,22,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,549,42.1
CENSUS,2022,YEAR,,STATE,MISSISSIPPI,28,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,69,41.9
CENSUS,2022,YEAR,,STATE,SOUTH CAROLINA,45,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,11,57.9
CENSUS,2022,YEAR,,STATE,TEXAS,48,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,27060,6.8
CENSUS,2017,YEAR,,STATE,ALABAMA,1,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,190,35.2
CENSUS,2017,YEAR,,STATE,ARIZONA,4,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,10031,12.2
